variant,4-1,4-2,4-3,total_pnl,trade_count,max_drawdown,final_positions,product_pnl_by_day,log_path,returncode,elapsed_sec,notes
SC_current_calibrated,17733.0,9712.0,16347.0,43792.0,2455,1823.0,"{""HYDROGEL_PACK"": 19, ""VELVETFRUIT_EXTRACT"": 6, ""VEV_4000"": 15, ""VEV_5000"": 0, ""VEV_5100"": 1, ""VEV_5200"": 8, ""VEV_5300"": 48, ""VEV_5400"": 17, ""VEV_5500"": 6, ""VEV_6000"": 60, ""VEV_6500"": 60}","{""4-1"": {""HYDROGEL_PACK"": 13681.0, ""VELVETFRUIT_EXTRACT"": 1210.0, ""VEV_4000"": 2698.0, ""VEV_4500"": 0.0, ""VEV_5000"": -30.0, ""VEV_5100"": 0.0, ""VEV_5200"": 14.0, ""VEV_5300"": 122.0, ""VEV_5400"": 19.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-2"": {""HYDROGEL_PACK"": 4585.0, ""VELVETFRUIT_EXTRACT"": 2684.0, ""VEV_4000"": 2160.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 0.0, ""VEV_5300"": 217.0, ""VEV_5400"": 43.0, ""VEV_5500"": 3.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-3"": {""HYDROGEL_PACK"": 11653.0, ""VELVETFRUIT_EXTRACT"": 2269.0, ""VEV_4000"": 2437.0, ""VEV_4500"": 0.0, ""VEV_5000"": 28.0, ""VEV_5100"": 24.0, ""VEV_5200"": 39.0, ""VEV_5300"": -102.0, ""VEV_5400"": -21.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-27_05-33-32.log,0,16.351,current trader.py constants
SC_per_product_edge_off,17420.0,9538.0,16422.0,43380.0,2449,1818.5,"{""HYDROGEL_PACK"": 15, ""VELVETFRUIT_EXTRACT"": 6, ""VEV_4000"": 15, ""VEV_5000"": 0, ""VEV_5100"": 1, ""VEV_5200"": 9, ""VEV_5300"": 49, ""VEV_5400"": 26, ""VEV_5500"": 14, ""VEV_6000"": 60, ""VEV_6500"": 60}","{""4-1"": {""HYDROGEL_PACK"": 13350.0, ""VELVETFRUIT_EXTRACT"": 1210.0, ""VEV_4000"": 2698.0, ""VEV_4500"": 0.0, ""VEV_5000"": -30.0, ""VEV_5100"": 0.0, ""VEV_5200"": 14.0, ""VEV_5300"": 132.0, ""VEV_5400"": 29.0, ""VEV_5500"": -2.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-2"": {""HYDROGEL_PACK"": 4391.0, ""VELVETFRUIT_EXTRACT"": 2684.0, ""VEV_4000"": 2160.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 0.0, ""VEV_5300"": 217.0, ""VEV_5400"": 57.0, ""VEV_5500"": 10.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-3"": {""HYDROGEL_PACK"": 11766.0, ""VELVETFRUIT_EXTRACT"": 2269.0, ""VEV_4000"": 2437.0, ""VEV_4500"": 0.0, ""VEV_5000"": 28.0, ""VEV_5100"": 24.0, ""VEV_5200"": 17.0, ""VEV_5300"": -102.0, ""VEV_5400"": -36.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-27_05-33-49.log,0,16.693,
SC_size_5200_5300_2,17804.0,9778.0,16258.0,43840.0,2435,1807.0,"{""HYDROGEL_PACK"": 19, ""VELVETFRUIT_EXTRACT"": 6, ""VEV_4000"": 15, ""VEV_5000"": 0, ""VEV_5100"": 1, ""VEV_5200"": 10, ""VEV_5300"": 60, ""VEV_5400"": 17, ""VEV_5500"": 6, ""VEV_6000"": 60, ""VEV_6500"": 60}","{""4-1"": {""HYDROGEL_PACK"": 13681.0, ""VELVETFRUIT_EXTRACT"": 1210.0, ""VEV_4000"": 2698.0, ""VEV_4500"": 0.0, ""VEV_5000"": -30.0, ""VEV_5100"": 0.0, ""VEV_5200"": 14.0, ""VEV_5300"": 193.0, ""VEV_5400"": 19.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-2"": {""HYDROGEL_PACK"": 4585.0, ""VELVETFRUIT_EXTRACT"": 2684.0, ""VEV_4000"": 2160.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 0.0, ""VEV_5300"": 284.0, ""VEV_5400"": 43.0, ""VEV_5500"": 3.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-3"": {""HYDROGEL_PACK"": 11653.0, ""VELVETFRUIT_EXTRACT"": 2269.0, ""VEV_4000"": 2437.0, ""VEV_4500"": 0.0, ""VEV_5000"": 28.0, ""VEV_5100"": 24.0, ""VEV_5200"": -16.0, ""VEV_5300"": -136.0, ""VEV_5400"": -21.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-27_05-34-07.log,0,16.203,
SC_resid_opp_edge_10,17733.0,9712.0,16347.0,43792.0,2455,1823.0,"{""HYDROGEL_PACK"": 19, ""VELVETFRUIT_EXTRACT"": 6, ""VEV_4000"": 15, ""VEV_5000"": 0, ""VEV_5100"": 1, ""VEV_5200"": 8, ""VEV_5300"": 48, ""VEV_5400"": 17, ""VEV_5500"": 6, ""VEV_6000"": 60, ""VEV_6500"": 60}","{""4-1"": {""HYDROGEL_PACK"": 13681.0, ""VELVETFRUIT_EXTRACT"": 1210.0, ""VEV_4000"": 2698.0, ""VEV_4500"": 0.0, ""VEV_5000"": -30.0, ""VEV_5100"": 0.0, ""VEV_5200"": 14.0, ""VEV_5300"": 122.0, ""VEV_5400"": 19.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-2"": {""HYDROGEL_PACK"": 4585.0, ""VELVETFRUIT_EXTRACT"": 2684.0, ""VEV_4000"": 2160.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 0.0, ""VEV_5300"": 217.0, ""VEV_5400"": 43.0, ""VEV_5500"": 3.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-3"": {""HYDROGEL_PACK"": 11653.0, ""VELVETFRUIT_EXTRACT"": 2269.0, ""VEV_4000"": 2437.0, ""VEV_4500"": 0.0, ""VEV_5000"": 28.0, ""VEV_5100"": 24.0, ""VEV_5200"": 39.0, ""VEV_5300"": -102.0, ""VEV_5400"": -21.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-27_05-34-24.log,0,17.149,
SC_vertical_off,17687.0,9692.0,16335.0,43714.0,2447,1823.0,"{""HYDROGEL_PACK"": 19, ""VELVETFRUIT_EXTRACT"": 6, ""VEV_4000"": 15, ""VEV_5000"": 0, ""VEV_5100"": 1, ""VEV_5200"": 4, ""VEV_5300"": 43, ""VEV_5400"": 17, ""VEV_5500"": 6, ""VEV_6000"": 60, ""VEV_6500"": 60}","{""4-1"": {""HYDROGEL_PACK"": 13681.0, ""VELVETFRUIT_EXTRACT"": 1210.0, ""VEV_4000"": 2698.0, ""VEV_4500"": 0.0, ""VEV_5000"": -30.0, ""VEV_5100"": 0.0, ""VEV_5200"": -16.0, ""VEV_5300"": 105.0, ""VEV_5400"": 19.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-2"": {""HYDROGEL_PACK"": 4585.0, ""VELVETFRUIT_EXTRACT"": 2684.0, ""VEV_4000"": 2160.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 0.0, ""VEV_5300"": 198.0, ""VEV_5400"": 43.0, ""VEV_5500"": 3.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-3"": {""HYDROGEL_PACK"": 11653.0, ""VELVETFRUIT_EXTRACT"": 2269.0, ""VEV_4000"": 2437.0, ""VEV_4500"": 0.0, ""VEV_5000"": 28.0, ""VEV_5100"": 24.0, ""VEV_5200"": 21.0, ""VEV_5300"": -96.0, ""VEV_5400"": -21.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-27_05-34-42.log,0,15.286,
SC_vertical_edge_025,17733.0,9712.0,16347.0,43792.0,2455,1823.0,"{""HYDROGEL_PACK"": 19, ""VELVETFRUIT_EXTRACT"": 6, ""VEV_4000"": 15, ""VEV_5000"": 0, ""VEV_5100"": 1, ""VEV_5200"": 8, ""VEV_5300"": 48, ""VEV_5400"": 17, ""VEV_5500"": 6, ""VEV_6000"": 60, ""VEV_6500"": 60}","{""4-1"": {""HYDROGEL_PACK"": 13681.0, ""VELVETFRUIT_EXTRACT"": 1210.0, ""VEV_4000"": 2698.0, ""VEV_4500"": 0.0, ""VEV_5000"": -30.0, ""VEV_5100"": 0.0, ""VEV_5200"": 14.0, ""VEV_5300"": 122.0, ""VEV_5400"": 19.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-2"": {""HYDROGEL_PACK"": 4585.0, ""VELVETFRUIT_EXTRACT"": 2684.0, ""VEV_4000"": 2160.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 0.0, ""VEV_5300"": 217.0, ""VEV_5400"": 43.0, ""VEV_5500"": 3.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-3"": {""HYDROGEL_PACK"": 11653.0, ""VELVETFRUIT_EXTRACT"": 2269.0, ""VEV_4000"": 2437.0, ""VEV_4500"": 0.0, ""VEV_5000"": 28.0, ""VEV_5100"": 24.0, ""VEV_5200"": 39.0, ""VEV_5300"": -102.0, ""VEV_5400"": -21.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-27_05-34-59.log,0,15.565,
SC_vertical_edge_05,17740.0,9732.0,16346.0,43818.0,2459,1819.0,"{""HYDROGEL_PACK"": 19, ""VELVETFRUIT_EXTRACT"": 6, ""VEV_4000"": 15, ""VEV_5000"": 0, ""VEV_5100"": 1, ""VEV_5200"": 8, ""VEV_5300"": 51, ""VEV_5400"": 17, ""VEV_5500"": 7, ""VEV_6000"": 60, ""VEV_6500"": 60}","{""4-1"": {""HYDROGEL_PACK"": 13681.0, ""VELVETFRUIT_EXTRACT"": 1210.0, ""VEV_4000"": 2698.0, ""VEV_4500"": 0.0, ""VEV_5000"": -30.0, ""VEV_5100"": 0.0, ""VEV_5200"": 14.0, ""VEV_5300"": 133.0, ""VEV_5400"": 19.0, ""VEV_5500"": -3.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-2"": {""HYDROGEL_PACK"": 4585.0, ""VELVETFRUIT_EXTRACT"": 2684.0, ""VEV_4000"": 2160.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 0.0, ""VEV_5300"": 238.0, ""VEV_5400"": 43.0, ""VEV_5500"": 3.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-3"": {""HYDROGEL_PACK"": 11653.0, ""VELVETFRUIT_EXTRACT"": 2269.0, ""VEV_4000"": 2437.0, ""VEV_4500"": 0.0, ""VEV_5000"": 28.0, ""VEV_5100"": 24.0, ""VEV_5200"": 39.0, ""VEV_5300"": -103.0, ""VEV_5400"": -21.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-27_05-35-15.log,0,15.761,
SC_tv_ema,17733.0,9712.0,16347.0,43792.0,2455,1823.0,"{""HYDROGEL_PACK"": 19, ""VELVETFRUIT_EXTRACT"": 6, ""VEV_4000"": 15, ""VEV_5000"": 0, ""VEV_5100"": 1, ""VEV_5200"": 8, ""VEV_5300"": 48, ""VEV_5400"": 17, ""VEV_5500"": 6, ""VEV_6000"": 60, ""VEV_6500"": 60}","{""4-1"": {""HYDROGEL_PACK"": 13681.0, ""VELVETFRUIT_EXTRACT"": 1210.0, ""VEV_4000"": 2698.0, ""VEV_4500"": 0.0, ""VEV_5000"": -30.0, ""VEV_5100"": 0.0, ""VEV_5200"": 14.0, ""VEV_5300"": 122.0, ""VEV_5400"": 19.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-2"": {""HYDROGEL_PACK"": 4585.0, ""VELVETFRUIT_EXTRACT"": 2684.0, ""VEV_4000"": 2160.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 0.0, ""VEV_5300"": 217.0, ""VEV_5400"": 43.0, ""VEV_5500"": 3.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-3"": {""HYDROGEL_PACK"": 11653.0, ""VELVETFRUIT_EXTRACT"": 2269.0, ""VEV_4000"": 2437.0, ""VEV_4500"": 0.0, ""VEV_5000"": 28.0, ""VEV_5100"": 24.0, ""VEV_5200"": 39.0, ""VEV_5300"": -102.0, ""VEV_5400"": -21.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-27_05-35-33.log,0,18.893,
SC_tv_fixed,17714.0,9834.0,16500.0,44048.0,2440,1843.0,"{""HYDROGEL_PACK"": 19, ""VELVETFRUIT_EXTRACT"": 7, ""VEV_4000"": 15, ""VEV_5000"": 0, ""VEV_5100"": 0, ""VEV_5200"": 4, ""VEV_5300"": 23, ""VEV_5400"": 23, ""VEV_5500"": 7, ""VEV_6000"": 60, ""VEV_6500"": 60}","{""4-1"": {""HYDROGEL_PACK"": 13681.0, ""VELVETFRUIT_EXTRACT"": 1398.0, ""VEV_4000"": 2698.0, ""VEV_4500"": 0.0, ""VEV_5000"": -30.0, ""VEV_5100"": -26.0, ""VEV_5200"": -16.0, ""VEV_5300"": -11.0, ""VEV_5400"": 0.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-2"": {""HYDROGEL_PACK"": 4585.0, ""VELVETFRUIT_EXTRACT"": 2886.0, ""VEV_4000"": 2160.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 28.0, ""VEV_5300"": 116.0, ""VEV_5400"": 39.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-3"": {""HYDROGEL_PACK"": 11653.0, ""VELVETFRUIT_EXTRACT"": 2453.0, ""VEV_4000"": 2437.0, ""VEV_4500"": 0.0, ""VEV_5000"": 28.0, ""VEV_5100"": 26.0, ""VEV_5200"": -61.0, ""VEV_5300"": -64.0, ""VEV_5400"": -1.0, ""VEV_5500"": 8.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-27_05-35-52.log,0,17.597,
SC_tv_hybrid_70_30,17809.0,9778.0,16543.0,44130.0,2432,1843.0,"{""HYDROGEL_PACK"": 19, ""VELVETFRUIT_EXTRACT"": 8, ""VEV_4000"": 15, ""VEV_5000"": 0, ""VEV_5100"": 0, ""VEV_5200"": 0, ""VEV_5300"": 24, ""VEV_5400"": 21, ""VEV_5500"": 5, ""VEV_6000"": 60, ""VEV_6500"": 60}","{""4-1"": {""HYDROGEL_PACK"": 13681.0, ""VELVETFRUIT_EXTRACT"": 1457.0, ""VEV_4000"": 2698.0, ""VEV_4500"": 0.0, ""VEV_5000"": -30.0, ""VEV_5100"": -26.0, ""VEV_5200"": -16.0, ""VEV_5300"": 25.0, ""VEV_5400"": 0.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-2"": {""HYDROGEL_PACK"": 4585.0, ""VELVETFRUIT_EXTRACT"": 2886.0, ""VEV_4000"": 2160.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 0.0, ""VEV_5300"": 90.0, ""VEV_5400"": 38.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-3"": {""HYDROGEL_PACK"": 11653.0, ""VELVETFRUIT_EXTRACT"": 2448.0, ""VEV_4000"": 2437.0, ""VEV_4500"": 0.0, ""VEV_5000"": 28.0, ""VEV_5100"": 26.0, ""VEV_5200"": -30.0, ""VEV_5300"": -51.0, ""VEV_5400"": 5.0, ""VEV_5500"": 6.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-27_05-36-11.log,0,17.192,
SC_inventory_reducing_taker,16282.0,10334.0,14540.0,41156.0,2668,1225.0,"{""HYDROGEL_PACK"": 5, ""VELVETFRUIT_EXTRACT"": 6, ""VEV_4000"": 15, ""VEV_5000"": 0, ""VEV_5100"": 1, ""VEV_5200"": 0, ""VEV_5300"": 2, ""VEV_5400"": 17, ""VEV_5500"": 6, ""VEV_6000"": 60, ""VEV_6500"": 60}","{""4-1"": {""HYDROGEL_PACK"": 12330.0, ""VELVETFRUIT_EXTRACT"": 1210.0, ""VEV_4000"": 2698.0, ""VEV_4500"": 0.0, ""VEV_5000"": -30.0, ""VEV_5100"": 0.0, ""VEV_5200"": -17.0, ""VEV_5300"": 52.0, ""VEV_5400"": 19.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-2"": {""HYDROGEL_PACK"": 5424.0, ""VELVETFRUIT_EXTRACT"": 2684.0, ""VEV_4000"": 2160.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 0.0, ""VEV_5300"": 0.0, ""VEV_5400"": 43.0, ""VEV_5500"": 3.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-3"": {""HYDROGEL_PACK"": 9699.0, ""VELVETFRUIT_EXTRACT"": 2269.0, ""VEV_4000"": 2437.0, ""VEV_4500"": 0.0, ""VEV_5000"": 28.0, ""VEV_5100"": 24.0, ""VEV_5200"": 21.0, ""VEV_5300"": 63.0, ""VEV_5400"": -21.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-27_05-36-29.log,0,18.866,
